PERMNO,date,TICKER,PRC
23712,1999-11-30,PEG,35.00000
23712,1999-12-31,PEG,34.81250
23712,2000-01-31,PEG,34.37500
23712,2000-02-29,PEG,29.00000
23712,2000-03-31,PEG,29.62500
23712,2000-04-28,PEG,35.87500
23712,2000-05-31,PEG,37.25000
23712,2000-06-30,PEG,34.62500
23712,2000-07-31,PEG,33.62500
23712,2000-08-31,PEG,36.25000
23712,2000-09-29,PEG,44.68750
23712,2000-10-31,PEG,41.50000
23712,2000-11-30,PEG,42.75000
23712,2000-12-29,PEG,48.62500
23712,2001-01-31,PEG,40.91000
23712,2001-02-28,PEG,44.81000
23712,2001-03-30,PEG,43.16000
23712,2001-04-30,PEG,46.44000
23712,2001-05-31,PEG,51.41000
23712,2001-06-29,PEG,48.90000
23712,2001-07-31,PEG,46.80000
23712,2001-08-31,PEG,46.30000
23712,2001-09-28,PEG,42.55000
23712,2001-10-31,PEG,39.36000
23712,2001-11-30,PEG,40.55000
23712,2001-12-31,PEG,42.19000
23712,2002-01-31,PEG,42.08000
23712,2002-02-28,PEG,42.17000
23712,2002-03-28,PEG,45.80000
23712,2002-04-30,PEG,46.35000
23712,2002-05-31,PEG,45.28000
23712,2002-06-28,PEG,43.30000
23712,2002-07-31,PEG,34.55000
23712,2002-08-30,PEG,35.20000
23712,2002-09-30,PEG,30.50000
23712,2002-10-31,PEG,28.65000
23712,2002-11-29,PEG,29.94000
23712,2002-12-31,PEG,32.10000
23712,2003-01-31,PEG,35.28000
23712,2003-02-28,PEG,34.63000
23712,2003-03-31,PEG,36.69000
23712,2003-04-30,PEG,38.47000
23712,2003-05-30,PEG,42.73000
23712,2003-06-30,PEG,42.25000
23712,2003-07-31,PEG,40.75000
23712,2003-08-29,PEG,42.34000
23712,2003-09-30,PEG,42.00000
23712,2003-10-31,PEG,40.87000
23712,2003-11-28,PEG,41.02000
23712,2003-12-31,PEG,43.80000
23712,2004-01-30,PEG,45.44000
23712,2004-02-27,PEG,47.14000
23712,2004-03-31,PEG,46.98000
23712,2004-04-30,PEG,42.90000
23712,2004-05-28,PEG,42.16000
23712,2004-06-30,PEG,40.03000
23712,2004-07-30,PEG,39.00000
23712,2004-08-31,PEG,42.34000
23712,2004-09-30,PEG,42.60000
23712,2004-10-29,PEG,42.59000
23712,2004-11-30,PEG,43.99000
23712,2004-12-31,PEG,51.77000
23712,2005-01-31,PEG,52.75000
23712,2005-02-28,PEG,54.55000
23712,2005-03-31,PEG,54.39000
23712,2005-04-29,PEG,58.10000
23712,2005-05-31,PEG,55.50000
23712,2005-06-30,PEG,60.82000
23712,2005-07-29,PEG,64.30000
23712,2005-08-31,PEG,64.55000
23712,2005-09-30,PEG,64.36000
23712,2005-10-31,PEG,62.89000
23712,2005-11-30,PEG,62.72000
23712,2005-12-30,PEG,64.97000
23712,2006-01-31,PEG,69.62000
23712,2006-02-28,PEG,69.39000
23712,2006-03-31,PEG,64.04000
23712,2006-04-28,PEG,62.70000
23712,2006-05-31,PEG,63.73000
23712,2006-06-30,PEG,66.12000
23712,2006-07-31,PEG,67.43000
23712,2006-08-31,PEG,70.02000
23712,2006-09-29,PEG,61.19000
23712,2006-10-31,PEG,61.05000
23712,2006-11-30,PEG,67.22000
23712,2006-12-29,PEG,66.38000
23712,2007-01-31,PEG,67.03000
23712,2007-02-28,PEG,74.90000
23712,2007-03-30,PEG,83.04000
23712,2007-04-30,PEG,86.45000
23712,2007-05-31,PEG,88.94000
23712,2007-06-29,PEG,87.78000
23712,2007-07-31,PEG,86.15000
23712,2007-08-31,PEG,84.99000
23712,2007-09-28,PEG,87.99000
23712,2007-10-31,PEG,95.60000
23712,2007-11-30,PEG,95.74000
23712,2007-12-31,PEG,98.24000
23712,2008-01-31,PEG,96.00000
23712,2008-02-29,PEG,44.10000
23712,2008-03-31,PEG,40.19000
23712,2008-04-30,PEG,43.91000
23712,2008-05-30,PEG,44.26000
23712,2008-06-30,PEG,45.93000
23712,2008-07-31,PEG,41.80000
23712,2008-08-29,PEG,40.77000
23712,2008-09-30,PEG,32.79000
23712,2008-10-31,PEG,28.15000
23712,2008-11-28,PEG,30.90000
23712,2008-12-31,PEG,29.17000
23712,2009-01-30,PEG,31.57000
23712,2009-02-27,PEG,27.29000
23712,2009-03-31,PEG,29.47000
23712,2009-04-30,PEG,29.84000
23712,2009-05-29,PEG,31.87000
23712,2009-06-30,PEG,32.63000
23712,2009-07-31,PEG,32.45000
23712,2009-08-31,PEG,31.67000
23712,2009-09-30,PEG,31.44000
23712,2009-10-30,PEG,29.80000
23712,2009-11-30,PEG,31.36000
23712,2009-12-31,PEG,33.25000
23712,2010-01-29,PEG,30.59000
23712,2010-02-26,PEG,29.72000
23712,2010-03-31,PEG,29.52000
23712,2010-04-30,PEG,32.13000
23712,2010-05-28,PEG,30.63000
23712,2010-06-30,PEG,31.33000
23712,2010-07-30,PEG,32.90000
23712,2010-08-31,PEG,31.96000
23712,2010-09-30,PEG,33.08000
23712,2010-10-29,PEG,32.34000
23712,2010-11-30,PEG,30.83000
23712,2010-12-31,PEG,31.81000
23712,2011-01-31,PEG,32.43000
23712,2011-02-28,PEG,32.70000
23712,2011-03-31,PEG,31.51000
23712,2011-04-29,PEG,32.17000
23712,2011-05-31,PEG,33.50000
23712,2011-06-30,PEG,32.64000
23712,2011-07-29,PEG,32.75000
23712,2011-08-31,PEG,34.13000
23712,2011-09-30,PEG,33.37000
23712,2011-10-31,PEG,33.70000
23712,2011-11-30,PEG,32.94000
23712,2011-12-30,PEG,33.01000
23712,2012-01-31,PEG,30.34000
23712,2012-02-29,PEG,30.78000
23712,2012-03-30,PEG,30.61000
23712,2012-04-30,PEG,31.15000
23712,2012-05-31,PEG,31.19000
23712,2012-06-29,PEG,32.50000
23712,2012-07-31,PEG,33.24000
23712,2012-08-31,PEG,31.66000
23712,2012-09-28,PEG,32.18000
23712,2012-10-31,PEG,32.04000
23712,2012-11-30,PEG,30.09000
23712,2012-12-31,PEG,30.60000
23712,2013-01-31,PEG,31.18000
23712,2013-02-28,PEG,32.59000
23712,2013-03-28,PEG,34.34000
23712,2013-04-30,PEG,36.61000
23712,2013-05-31,PEG,33.04000
23712,2013-06-28,PEG,32.66000
23712,2013-07-31,PEG,33.79000
23712,2013-08-30,PEG,32.42000
23712,2013-09-30,PEG,32.93000
23712,2013-10-31,PEG,33.50000
23712,2013-11-29,PEG,32.69000
23712,2013-12-31,PEG,32.04000
23712,2014-01-31,PEG,33.34000
23712,2014-02-28,PEG,36.66000
23712,2014-03-31,PEG,38.14000
23712,2014-04-30,PEG,40.97000
23712,2014-05-30,PEG,38.96000
23712,2014-06-30,PEG,40.79000
23712,2014-07-31,PEG,35.17000
23712,2014-08-29,PEG,37.39000
23712,2014-09-30,PEG,37.24000
23712,2014-10-31,PEG,41.31000
23712,2014-11-28,PEG,41.78000
23712,2014-12-31,PEG,41.41000
23712,2015-01-30,PEG,42.68000
23712,2015-02-27,PEG,42.06000
23712,2015-03-31,PEG,41.92000
23712,2015-04-30,PEG,41.54000
23712,2015-05-29,PEG,42.63000
23712,2015-06-30,PEG,39.28000
23712,2015-07-31,PEG,41.67000
23712,2015-08-31,PEG,40.25000
23712,2015-09-30,PEG,42.16000
23712,2015-10-30,PEG,41.29000
23712,2015-11-30,PEG,39.10000
23712,2015-12-31,PEG,38.69000
23712,2016-01-29,PEG,41.30000
23712,2016-02-29,PEG,42.66000
23712,2016-03-31,PEG,47.14000
23712,2016-04-29,PEG,46.13000
23712,2016-05-31,PEG,44.75000
23712,2016-06-30,PEG,46.61000
23712,2016-07-29,PEG,46.01000
23712,2016-08-31,PEG,42.76000
23712,2016-09-30,PEG,41.87000
23712,2016-10-31,PEG,42.08000
23712,2016-11-30,PEG,41.31000
23712,2016-12-30,PEG,43.88000
23712,2017-01-31,PEG,44.25000
23712,2017-02-28,PEG,45.98000
23712,2017-03-31,PEG,44.35000
23712,2017-04-28,PEG,44.05000
23712,2017-05-31,PEG,44.91000
23712,2017-06-30,PEG,43.01000
23712,2017-07-31,PEG,44.97000
23712,2017-08-31,PEG,46.84000
23712,2017-09-29,PEG,46.25000
23712,2017-10-31,PEG,49.20000
23712,2017-11-30,PEG,53.06000
23712,2017-12-29,PEG,51.50000
23712,2018-01-31,PEG,51.87000
23712,2018-02-28,PEG,48.43000
23712,2018-03-29,PEG,50.24000
23712,2018-04-30,PEG,52.15000
23712,2018-05-31,PEG,52.98000
23712,2018-06-29,PEG,54.14000
23712,2018-07-31,PEG,51.56000
23712,2018-08-31,PEG,52.35000
23712,2018-09-28,PEG,52.79000
23712,2018-10-31,PEG,53.43000
23712,2018-11-30,PEG,55.90000
23712,2018-12-31,PEG,52.05000
23712,2019-01-31,PEG,54.55000
23712,2019-02-28,PEG,58.81000
23712,2019-03-29,PEG,59.41000
23712,2019-04-30,PEG,59.65000
23712,2019-05-31,PEG,58.76000
23712,2019-06-28,PEG,58.82000
23712,2019-07-31,PEG,57.15000
23712,2019-08-30,PEG,60.47000
23712,2019-09-30,PEG,62.08000
23712,2019-10-31,PEG,63.31000
23712,2019-11-29,PEG,59.31000
23712,2019-12-31,PEG,59.05000
23712,2020-01-31,PEG,59.20000
23712,2020-02-28,PEG,51.31000
23712,2020-03-31,PEG,44.91000
23712,2020-04-30,PEG,50.71000
23712,2020-05-29,PEG,51.04000
23712,2020-06-30,PEG,49.16000
23712,2020-07-31,PEG,55.94000
23712,2020-08-31,PEG,52.24000
23712,2020-09-30,PEG,54.91000
23712,2020-10-30,PEG,58.15000
23712,2020-11-30,PEG,58.28000
